Modenumber, Lambda (um), beta  (per um), alpha/2  (per um), k0  (per um); Thickness=1 um
2,0.8600,2.485118032741E+01,2.394989506449E-02,7.3060
2,0.8610,2.481518289142E+01,2.370738495207E-02,7.2975
2,0.8620,2.477760762155E+01,2.346543750811E-02,7.2891
2,0.8630,2.474091650981E+01,2.322405077666E-02,7.2806
2,0.8640,2.470350262296E+01,2.298322281078E-02,7.2722
2,0.8650,2.466771103354E+01,2.274295167258E-02,7.2638
2,0.8660,2.463125781644E+01,2.250323543307E-02,7.2554
2,0.8670,2.459556724042E+01,2.226407217221E-02,7.2470
2,0.8680,2.456013171040E+01,2.202545997876E-02,7.2387
2,0.8690,2.452311716276E+01,2.178739695032E-02,7.2304
2,0.8700,2.448618146974E+01,2.154988119321E-02,7.2221
2,0.8710,2.444947485010E+01,2.130742836455E-02,7.2138
2,0.8720,2.441204544189E+01,2.106553162036E-02,7.2055
2,0.8730,2.437623749591E+01,2.082418904969E-02,7.1972
2,0.8740,2.434057973377E+01,2.058339875036E-02,7.1890
2,0.8750,2.430326065120E+01,2.034315882885E-02,7.1808
2,0.8760,2.426694978858E+01,2.010346740031E-02,7.1726
2,0.8770,2.423157597615E+01,1.986432258848E-02,7.1644
2,0.8780,2.419462325037E+01,1.962572252566E-02,7.1562
2,0.8790,2.415855157378E+01,1.938766535262E-02,7.1481
2,0.8800,2.412175548791E+01,1.915014921862E-02,7.1400
2,0.8810,2.408568067259E+01,1.894811848788E-02,7.1319
2,0.8820,2.405122239844E+01,1.874654587671E-02,7.1238
2,0.8830,2.401609862065E+01,1.854542982864E-02,7.1157
2,0.8840,2.398093306530E+01,1.834476879426E-02,7.1077
2,0.8850,2.394595968659E+01,1.814456123114E-02,7.0996
2,0.8860,2.391191896397E+01,1.794480560383E-02,7.0916
2,0.8870,2.387709802420E+01,1.774550038380E-02,7.0836
2,0.8880,2.384154911495E+01,1.754664404939E-02,7.0757
2,0.8890,2.380607419445E+01,1.734823508582E-02,7.0677
2,0.8900,2.377107432117E+01,1.715027198509E-02,7.0598
2,0.8910,2.373768510445E+01,1.694824007135E-02,7.0518
2,0.8920,2.370311324585E+01,1.674666114395E-02,7.0439
2,0.8930,2.366873155459E+01,1.654553368113E-02,7.0360
2,0.8940,2.363459195400E+01,1.634485616788E-02,7.0282
2,0.8950,2.360121315633E+01,1.614462709600E-02,7.0203
2,0.8960,2.356625043495E+01,1.594484496402E-02,7.0125
2,0.8970,2.353176083535E+01,1.574550827714E-02,7.0047
2,0.8980,2.349654096364E+01,1.554661554725E-02,6.9969
2,0.8990,2.346333351347E+01,1.534816529285E-02,6.9891
2,0.9000,2.342945692309E+01,1.515015603901E-02,6.9813
2,0.9010,2.339565462945E+01,1.498856993134E-02,6.9736
2,0.9020,2.336180321722E+01,1.482734210771E-02,6.9658
2,0.9030,2.332813957018E+01,1.466647137783E-02,6.9581
2,0.9040,2.329540360729E+01,1.450595655664E-02,6.9504
2,0.9050,2.326148296626E+01,1.434579646434E-02,6.9427
2,0.9060,2.322683056916E+01,1.418598992632E-02,6.9351
2,0.9070,2.319418786573E+01,1.402653577318E-02,6.9274
2,0.9080,2.316087452208E+01,1.386743284063E-02,6.9198
2,0.9090,2.312763364413E+01,1.370867996955E-02,6.9122
2,0.9100,2.309434188298E+01,1.355027600587E-02,6.9046
2,0.9110,2.306123601857E+01,1.339373714504E-02,6.8970
2,0.9120,2.302905561877E+01,1.323754157119E-02,6.8895
2,0.9130,2.299568934691E+01,1.308168815631E-02,6.8819
2,0.9140,2.296158993039E+01,1.292617577735E-02,6.8744
2,0.9150,2.292795918402E+01,1.277100331617E-02,6.8669
